uno,一
dos,二
tres,三
cuatro,四
cinco,五
seis,六
siete,七
ocho,八
nueve,九
diez,十
boca,口
día,日
mes,月
campo de arroz,田
ojo,目
viejo,古
yo,吾
riesgo,冒
compañero,朋
claro,明
canto,唱
destello,晶
mercancías,品
espina dorsal,呂
próspero,昌
temprano,早
sol naciente,旭
generación,世
estómago,胃
amanecer,旦
vesícula biliar,胆
atravesar,亘
cóncavo,凹
convexo,凸
antigüedad,旧
uno mismo,自
blanco,白
cien,百
en,中
mil,千
lengua,舌
caja para medir,升
elevarse,昇
redondo,丸
medida,寸
codo,肘
especialidad,専
Dr.,博
adivinación,占
arriba,上
abajo,下
eminente,卓
mañana,朝
escarnio,嘲
único,只
almeja,貝
canción pop,唄
recto,貞
empleado,員
fijar,貼
ver,見
recién nacido,児
principio,元
página,頁
tozudo,頑
mediocre,凡
derrota,負
diez mil,万
frase,句
piel,肌
decamerón,旬
cucharón,勺
diana,的
cuello,首
entrañas de pescado,乙
tumulto,乱
directamente,直
herramienta,具
verdad,真
técnica,工
izquierda,左
derecha,右
posesión,有
soborno,賄
tributo,貢
párrafo,項
espada,刀
filo,刃
cortar,切
seducir,召
brillante,昭
norma,則
vice-,副
separar,別
calle,丁
barrio,町
posible,可
cima,頂
niño,子
Confucio,孔
acabado,了
mujer,女
gustar,好
parecido,如
madre,母
transpasar,貫
hermano mayor,兄
maldición,呪
superar,克
pequeño,小
poco,少
grande,大
muchos,多
noche,夕
marea nocturna,汐
exterior,外
nombre,名
piedra,石
semejanza,肖
nitrato,硝
aplastar,砕
arena,砂
celos,妬
cepillar,削
rayo,光
gordo,太
utensilio,器
apestar,臭
olfatear,嗅
exquisita,妙
reflexionar,省
grueso,厚
extraño,奇
arroyo,川
estado,州
obedecer,順
agua,水
hielo,氷
eternidad,永
manantial,泉
glándula,腺
prado,原
petición,願
nadar,泳
pantano,沼
alta mar,沖
pan-,汎
riachuelo,江
cribar,汰
sopa,汁
granos de arena,沙
marea,潮
origen,源
animado,活
extinguir,消
por supuesto,況
rio,河
pernoctar,泊
lago,湖
sondear,測
tierra,土
escupir,吐
presión,圧
cabo,埼
valla,垣
embutir,填
joya cuadrada,圭
sellar,封
horizonte,涯
templo budista,寺
tiempo,時
anivelado,均
fuego,火
inflamación,炎
angustia,煩
diluido,淡
lámpara,灯
plantación,畑
desastre,災
ceniza,灰
punto,点
iluminar,照
pescado,魚
pescar,漁
ri,里
negro,黒
tinta china,墨
carpa,鯉
cantidad,量
rin,厘
enterrar,埋
el mismo,同
cueva,洞
tronco,胴
en frente de,向
estimado,尚
letra,字
proteger,守
completo,完
proclamar,宣
anochecer,宵
relajación,安
banquete,宴
acercarse,寄
abundancia,富
ahorros,貯
arbol,木
arboleda,林
bosque,森
katsura,桂
roble,柏
marco,枠
copa del arbol,梢
estantería,棚
albaricoque,杏
paulonia,桐
plantar,植
silla,椅
marchitado,枯
bruto,朴
pueblo,村
inter-,相
escritorio,机
libro,本
etiqueta,札
calendario,暦
plan,案
agostar,燥
todavía,未
críptico,昧
extremo,末
salpicadura,沫
sabor,味
hermana menor,妹
carmesí,朱
acciones de bolsa,株
juventud,若
hierba,草
sufrimiento,苦
hostigar,苛
tolerancia,寛
desteñido,薄
hoja,葉
imitación,模
borroso,漠
tumba,墓
ganarse la vida,暮
membrana,膜
plantón,苗
augurio,兆
melocotón,桃
mirar fijamente,眺
perro,犬
statu quo,状
silencio,黙
tal como es,然
caña,荻
cazar,狩
gato,猫
vaca,牛
especial,特
revelación,告
antes,先
lavar,洗
apretado,介
mundo,界
té,茶
columna vertebral,脊
encajar,合
pagoda,塔
rey,王
joya,玉
tesoro,宝
perla,珠
presente,現
juguete,玩
loco,狂
refulgente,旺
emperador,皇
ofrenda,呈
todo,全
tapón,栓
lógica,理
amo,主
verter,注
columna,柱
oro,金
lingote,銑
bol,鉢
cobre,銅
pescar con caña,釣
aguja,針
inscripción,銘
tranquilizar,鎮
carretera,道
guiar,導
cruce,辻
veloz,迅
crear,造
apremiar,迫
escapar,逃
inmediaciones,辺
patrullar,巡
carruaje,車
acompañar,連
carril,軌
transportar,輸
metáfora,喩
delante,前
asar,煎
cada uno,各
categoría,格
chanchullo,賂
abreviatura,略
invitado,客
frente,額
verano,夏
