buscar,捜
fruta,果
confite,菓
capítulo,課
desnudo,裸
hacha,斤
tronchar,析
sitio,所
orar,祈
cerca,近
plegar,折
filosofía,哲
expirar,逝
juramento,誓
pegar un tajo,斬
temporalmente,暫
gradualmente,漸
recortar,断
sustancia,質
rechazar,斥
acusación,訴
ayer,昨
mentira,詐
realizar,作
nieve,雪
grabar,録
pelar,剥
encuesta,尋
apresurarse,急
calma,穏
invadir,侵
inmersión,浸
yacer,寝
señora,婦
barrer,掃
acertar,当
glosario,彙
contienda,争
limpio,浄
asunto,事
Tang,唐
azucar,糖
sano,康
aprehender,逮
Italia,伊
tú,君
manada,群
a prueba de,耐
demanda,需
confuciano,儒
margen,端
ambos,両
lleno,満
trazo de pincel,画
diente,歯
doblegar,曲
cadete,曹
encuentro,遭
remar,漕
tinaja,槽
Osa Mayor,斗
importe,料
departamento,科
mapa,図
utilizar,用
confortable,庸
equipamiento,備
érase una vez,昔
confuso,錯
tomar prestado,借
pena,惜
apartar,措
esparcir,散
veinte,廿
plebeyo,庶
interceptar,遮
asiento,席
grado,度
cruzar,渡
bullicio,奔
erupción,噴
sepulcro,墳
indignación,憤
freír,焼
alba,暁
mitad,半
consorte,伴
borde de un arrozal,畔
sentencia,判
puño,拳
boleto,券
pergamino,巻
esfera,圏
victoria,勝
glicina,藤
facsimil,謄
un lado,片
bloque de imprenta,版
de,之
escasez,乏
césped,芝
negativo,不
negar,否
una taza de,杯
dardo,矢
rectificar,矯
tribu,族
saber,知
sabiduría,智
empellón,挨
alabarda,矛
tierno,柔
tarea,務
niebla,霧
brigada,班
volver a casa,帰
arco,弓
tirar,引
pésame,弔
extenso,弘
fuerte,強
más y más,弥
débil,弱
ahogamiento,溺
hervir,沸
gastos,費
Núm.,第
hermano menor,弟
habilidad,巧
apodo,号
decadencia,朽
jactarse,誇
mentón,顎
sucio,汚
conceder,与
copiar,写
alguien,身
disparar,射
disculparse,謝
anciano,老
considerar,考
devoción filial,孝
enseñar,教
tortura,拷
alguno,者
cocer,煮
célebre,著
palillos orientales,箸
firma,署
bochorno,暑
diversos,諸
jabalí,猪
ribera,渚
apostar,賭
desfiladero,峡
estrecho,狭
intercalar,挟
mejilla,頬
perseguir,追
risco,阜
experto,師
comandante,帥
burócrata,官
ataúd,棺
cañería,管
padre,父
caldera,釜
entremezclar,交
mérito,効
contraste,較
escuela,校
pie,足
estimular,促
echar el guante,捉
larga distancia,距
sendero,路
rocío,露
brinco,跳
salto,躍
pisar,践
paso,踏
vestigios,踪
esqueleto,骨
resbaladizo,滑
médula,髄
calamidad,禍
remolino,渦
olla,鍋
demasiado,過
Alto,阪
África,阿
ocasión,際
obstruir,障
rendija,隙
ir detrás,随
auxiliar,陪
luz del sol,陽
poner en fila,陳
defenderse de,防
acoplado,附
Institución,院
campamento,陣
regimiento,隊
caída,墜
descender,降
piso,階
alteza,陛
vecino,隣
aislar,隔
encubrir,隠
degenerar,堕
colapso,陥
agujero,穴
vacío,空
retener,控
punzar,突
indagación,究
obturar,窒
sigiloso,窃
gruta,窟
depresión,窪
estrujar,搾
horno,窯
paupérrimo,窮
tantear,探
profundo,深
cerro,丘
colina,岳
soldado,兵
costa,浜
hilo,糸
tejer,織
remendar,繕
encoger,縮
lujo,繁
vertical,縦
fino,緻
línea,線
descuajaringarse,綻
estrechar,締
fibra,維
gasa,羅
practicar,練
correa,緒
continuar,続
dibujo,絵
integración,統
estrangular,絞
salario,給
entrelazar,絡
atar,結
final,終
clase,級
crónica,紀
carmín,紅
concluir,納
hilatura,紡
perturbar,紛
presentar a alguien,紹
sutra,経
caballero,紳
promesa,約
delgado,細
acumular,累
cable,索
general,総
algodón,綿
seda,絹
enrollado,繰
heredar,継
verde,緑
afinidad,縁
red,網
tenso,緊
púrpura,紫
amarrar,縛
cuerda de paja,縄
infancia,幼
detrás,後
impreciso,幽
cuántos,幾
mecanismo,機
barrios residenciales,畿
misterioso,玄
ganado,畜
acaudalar,蓄
cuerda de arco,弦
abarcar,擁
nutritivo,滋
piedad,慈
imán,磁
linaje,系
encargado,係
nieto,孫
suspender,懸
humilde,遜
al contrario,却
espinilla,脚
al por mayor,卸
honorable,御
prenda,服
destino,命
órdenes,令
cero,零
edad,齢
frescura,冷
jurisdicción,領
campanilla,鈴
coraje,勇
bullir,湧
tráfico,通
bailar,踊
imitar,擬
duda,疑
solidificar,凝
patrón,範
crimen,犯
difundido,氾
mala suerte,厄
peligroso,危
dirección postal,宛
brazo,腕
jardín,苑
rencor,怨
sauce,柳
huevo,卵
estacionar,留
azul marino,瑠
comerciar,貿
sello,印
mortero,臼
romper,毀
entretener,興
signo del pájaro,酉
sake,酒
servir sake,酌
aguardiente,酎
fermentación,酵
crueldad,酷
recompensar,酬
productos lácteos,酪
vinagre,酢
borracho,酔
distribuir,配
ácido,酸
vacilar,猶
reverencia,尊
alubias,豆
cabeza,頭
corto,短
provechoso,豊
tambor,鼓
alegría,喜
árboles madereros,樹
plato,皿
sangre,血
cuenca,盆
alianza,盟
robar,盗
caliente,温
tapa,蓋
supervisar,監
desbordarse,濫
espécimen,鑑
índigo,藍
fiero,猛
auge,盛
sal,塩
plata,銀
resentimiento,恨
raíz,根
instantáneo,即
barón,爵
nódulo,節
retirada,退
confín,限
globo ocular,眼
bueno,良
melodioso,朗
errante,浪
hija,娘
comer,食
comida,飯
beber,飲
hambriento,飢
inanición,餓
decorar,飾
cebo,餌
Edificio,館
mochi,餅
fomentar,養
harto,飽
previamente,既
aproximadamente,概
deplorar,慨
llano,平
llamar,呼
área de dos esteras,坪
evaluación,評
segar,刈
instante,刹
esperanza,希
villano,凶
pecho,胸
desprenderse,離
cristal,璃
matar,殺
tonificante,爽
genuino,純
inmediato,頓
embotar,鈍
picante,辛
dimitir,辞
administrar,宰
catalpa,梓
pared,壁
joya horadada,璧
refugiarse,避
nuevo,新
leña,薪
progenitor,親
felicidad,幸
tenaz,執
formal,摯
informe,報
gritar,叫
retorcer,糾
rentas,収
despreciable,卑
lápida,碑
terrestre,陸
íntimo,睦
fuerzas,勢
calor,熱
diamante,菱
